hf_rank,bgg_rank,name,hyperfixation
1,169,Magic: The Gathering,16.2774
2,807,Star Wars: Unlimited,9.6691
3,75,Android: Netrunner,6.4095
4,42,Marvel Champions: The Card Game,5.946
5,446,Chess,5.7207
6,771,Ascension: Deckbuilding Game,5.6276
7,790,Onirim (Second Edition),5.5154
8,77,The Crew: The Quest for Planet Nine,5.4126
9,37,The Crew: Mission Deep Sea,5.1293
10,164,Star Realms,5.1086
11,175,The Lord of the Rings: The Card Game,5.0725
12,256,KLASK,4.8727
13,708,Star Wars: Destiny,4.8176
14,81,Race for the Galaxy,4.6901
15,251,My City,4.6719
16,224,Go,4.64
17,423,The Lord of the Rings: The Card Game – Revised Core Set,4.6028
18,527,Zombie Kidz Evolution,4.3115
19,604,Aeon Trespass: Odyssey,4.2989
20,633,One Night Ultimate Werewolf,4.2195
21,715,A Game of Thrones: The Card Game (Second Edition),4.1667
22,769,KeyForge: Call of the Archons,4.1295
23,866,Warhammer: Invasion,4.0955
24,960,Werewords,4.0778
25,734,Cribbage,4.0058
26,128,Blood on the Clocktower,3.9647
27,322,Turing Machine,3.886
28,46,Crokinole,3.88
29,138,Dominion,3.869
30,702,Trio,3.6768
31,961,Mahjong,3.5833
32,588,Blood Bowl: Living Rulebook,3.5455
33,4,Gloomhaven,3.5021
34,40,Sky Team,3.4961
35,185,Dominion (Second Edition),3.4889
36,541,Legacy of Yu,3.4759
37,654,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,3.4618
38,383,Dorfromantik: The Board Game,3.4493
39,675,Coup,3.4181
40,949,Star Wars: The Card Game,3.4085
41,279,Santorini,3.3743
42,78,Kingdom Death: Monster,3.3535
43,615,Regicide,3.3445
44,743,One Night Ultimate Werewolf: Daybreak,3.3417
45,309,Hive,3.3131
46,324,Sea Salt & Paper,3.3119
47,386,Neuroshima Hex! 3.0,3.2912
48,689,Unmatched Game System,3.2778
49,997,Palm Island,3.2717
50,516,Middara: Unintentional Malum – Act 1,3.25
51,393,Mindbug: First Contact,3.2165
52,589,Etherfields,3.2143
53,259,Codenames: Duet,3.1955
54,240,Star Realms: Colony Wars,3.1923
55,611,Next Station: London,3.1842
56,28,Arkham Horror: The Card Game,3.1675
57,551,Friday,3.1203
58,26,Frosthaven,3.1171
59,215,The Resistance: Avalon,3.1083
60,563,Blood Bowl (Third Edition),3.108
61,307,Star Realms: Frontiers,3.1056
62,359,Faraway,3.1054
63,313,Aeon's End: The New Age,3.1038
64,261,Fantasy Realms,3.0898
65,225,Arkham Horror: The Card Game (Revised Edition),3.0852
66,151,Codenames,3.0772
67,571,Railroad Ink: Deep Blue Edition,3.0605
68,262,Legendary: A Marvel Deck Building Game,3.0516
69,483,Sprawlopolis,3.0496
70,268,MicroMacro: Crime City,3.0431
71,334,Lost Cities,3.0414
72,61,Pandemic Legacy: Season 2,3.0377
73,2,Pandemic Legacy: Season 1,3.0128
74,130,The Lord of the Rings: Journeys in Middle-Earth,3.0081
75,586,Star Wars: X-Wing (Second Edition),3.0
76,236,Aeon's End: Legacy,2.967
77,191,That's Pretty Clever!,2.9644
78,110,Slay the Spire: The Board Game,2.9492
79,999,Spyfall,2.9418
80,281,Hero Realms,2.9316
81,410,The Resistance,2.9006
82,356,Summoner Wars (Second Edition),2.8933
83,339,Space Alert,2.8857
84,515,MicroMacro: Crime City – Full House,2.8592
85,680,Shards of Infinity,2.8537
86,768,Can't Stop,2.8533
87,108,Tainted Grail: The Fall of Avalon,2.8467
88,204,Memoir '44,2.8178
89,809,Maquis,2.8081
90,465,Codenames: Pictures,2.8033
91,173,ISS Vanguard,2.7823
92,11,Gloomhaven: Jaws of the Lion,2.7669
93,10,Spirit Island,2.7648
94,14,Through the Ages: A New Story of Civilization,2.759
95,254,Secret Hitler,2.7579
96,783,7 Wonders: Architects,2.7493
97,127,Harmonies,2.7474
98,111,Final Girl,2.7427
99,682,HeroQuest,2.7417
100,685,Bullet♥︎,2.7393
101,346,The King's Dilemma,2.7375
102,876,Tumblin' Dice,2.7346
103,265,Deception: Murder in Hong Kong,2.7212
104,730,Magic Maze,2.7182
105,183,War Chest,2.7044
106,221,7 Wonders (Second Edition),2.6859
107,243,Forest Shuffle,2.6829
108,937,Spicy,2.6723
109,168,It's a Wonderful World,2.6693
110,507,Advanced Squad Leader,2.6667
111,963,Earthborne Rangers,2.6582
