rank,name,id
1,Brass: Birmingham,224517
2,Pandemic Legacy: Season 1,161936
3,Ark Nova,342942
4,Gloomhaven,174430
5,Twilight Imperium: Fourth Edition,233078
6,Dune: Imperium,316554
7,Terraforming Mars,167791
8,War of the Ring: Second Edition,115746
9,Star Wars: Rebellion,187645
10,Spirit Island,162886
11,Gloomhaven: Jaws of the Lion,291457
12,Gaia Project,220308
13,Twilight Struggle,12333
14,Through the Ages: A New Story of Civilization,182028
15,The Castles of Burgundy,84876
16,Great Western Trail,193738
17,Dune: Imperium – Uprising,397598
18,Scythe,169786
19,Eclipse: Second Dawn for the Galaxy,246900
20,7 Wonders Duel,173346
21,Brass: Lancashire,28720
22,Nemesis,167355
23,Clank! Legacy: Acquisitions Incorporated,266507
24,A Feast for Odin,177736
25,Concordia,124361
26,Frosthaven,295770
27,Great Western Trail: Second Edition,341169
28,Arkham Horror: The Card Game,205637
29,Lost Ruins of Arnak,312484
30,Root,237182
31,Terra Mystica,120677
32,Wingspan,266192
33,Too Many Bones,192135
34,Orléans,164928
35,Mage Knight Board Game,96848
36,Barrage,251247
37,The Crew: Mission Deep Sea,324856
38,Everdell,199792
39,Viticulture Essential Edition,183394
40,Sky Team,373106
41,Heat: Pedal to the Metal,366013
42,Marvel Champions: The Card Game,285774
43,Food Chain Magnate,175914
44,Pax Pamir: Second Edition,256960
45,Underwater Cities,247763
46,Crokinole,521
47,Kanban EV,284378
48,Puerto Rico,3076
49,Cascadia,295947
50,Caverna: The Cave Farmers,102794
51,Pandemic Legacy: Season 0,314040
52,Anachrony,185343
53,On Mars,184267
54,Blood Rage,170216
55,Agricola,31260
56,Hegemony: Lead Your Class to Victory,321608
57,Cthulhu: Death May Die,253344
58,Sleeping Gods,255984
59,Oathsworn: Into the Deepwood,251661
60,Lisboa,161533
61,Pandemic Legacy: Season 2,221107
62,Obsession,231733
63,Mansions of Madness: Second Edition,205059
64,Grand Austria Hotel,182874
65,Tzolk'in: The Mayan Calendar,126163
66,Power Grid,2651
67,Maracaibo,276025
68,The Quacks of Quedlinburg,244521
69,Clans of Caledonia,216132
70,Le Havre,35677
71,The Gallerist,125153
72,Age of Innovation,383179
73,Paladins of the West Kingdom,266810
74,Star Wars: Imperial Assault,164153
75,Android: Netrunner,124742
76,Mechs vs. Minions,209010
77,The Crew: The Quest for Planet Nine,284083
78,Kingdom Death: Monster,55690
79,Agricola (Revised Edition),200680
80,Azul,230802
81,Race for the Galaxy,28143
82,Clank!: Catacombs,365717
83,Five Tribes: The Djinns of Naqala,157354
84,Clank!: A Deck-Building Adventure,201808
85,Eclipse: New Dawn for the Galaxy,72125
86,Fields of Arle,159675
87,Aeon's End,191189
88,The Lord of the Rings: Duel for Middle-earth,421006
